"id","name","price","status","url"
39,"环球网校 2017年造价工程师课件精讲班 在线课程题库视频官方渠道","500.00","17笔","//detail.tmall.com/item.htm?id=535063888155&skuId=3448520603401&user_id=1087584114&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
40,"嗨学网2017一级二级建造师课件一建二建视频题库教程押题建筑市政","298.00","218笔","//detail.tmall.com/item.htm?id=544509992110&skuId=3281741149859&user_id=2847634948&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
41,"2017执业药师西药师中药师考试课程视频课件真题库送资料全考点","90.00","45笔","//detail.tmall.com/item.htm?id=36386843172&skuId=3285019828109&user_id=1837077133&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
42,"2017年新版证券/基金/银行/期货从业资格证考试题库软件真题押题","18.00","697笔","//detail.tmall.com/item.htm?id=537173321555&skuId=3448956463514&user_id=2895336974&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
43,"医学教育网2017执业中药师视频考试宝典正规化培训课件试卷题库","1260.00","28笔","//detail.tmall.com/item.htm?id=545482227808&skuId=3455008394289&user_id=3107653559&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
44,"环球网校2017年造价工程师土建安装案例造价师课件视频题库真题","500.00","52笔","//detail.tmall.com/item.htm?id=525712876139&skuId=3129013955018&user_id=2626599176&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
45,"2017主治医师考试宝典内科外科妇产科儿科中级视频题库主管护师","90.00","108笔","//detail.tmall.com/item.htm?id=536889985791&skuId=3205539036121&user_id=2634734841&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
46,"2017年临床中医中西医口腔执业医师乡村全科助理医师视频课件题库","100.00","54笔","//detail.tmall.com/item.htm?id=41253343040&skuId=3128602273395&user_id=2104698006&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
47,"药师在线药考金题库套包 药学 中药学 执业药师 课件 视频","540.00","8笔","//detail.tmall.com/item.htm?id=544590303865&skuId=4611686563017691769&user_id=3089584892&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
48,"医学教育网2017口腔执业医师视频助理医师考试宝典课件历年真题库","882.00","38笔","//detail.tmall.com/item.htm?id=545424404574&skuId=3290930244014&user_id=3107653559&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
49,"正版Kaplan 2017年 CFA 一级二级三级 原版视频100h+notes+题库","1680.00","4笔","//detail.tmall.com/item.htm?id=540226813171&skuId=3239173096067&user_id=2973326982&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
50,"会计学堂老会计真账实操从业初级中级职称考试题库注册会计师教程","700.00","43笔","//detail.tmall.com/item.htm?id=544528711620&skuId=3281453797260&user_id=2634918372&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
